"Path","Category","SourceExists","DistExists","PublishExists","Width","Height","AspectRatio","Format","DecodedFormat","FormatMatchesExtension","FileSizeBytes","HasAlpha","DecodeStatus","Sha256","PerceptualHash","ExactDuplicateGroup","NearDuplicateGroup","ReferenceCount","ShippingStatus","DistPackageStatus","PublishPackageStatus","OrphanStatus","SuspectedPlaceholderStatus","PlaceholderReason","ProvenanceStatus","Notes"
"data/ams2/cars/driver.alain_asselin.png","cars","True","True","True","900","281","3.2028","png","png","True","191572","True","OK","b6ee813a70670d005f53c09e6f2dff64574ff787e4cf9822ebc336aff4b275c8","0000000001000000010011000100110100000111000101100101001001000001","","NEAR-001","1","LOOSE_COPY_DECLARED","MATCHES_SOURCE","MATCHES_SOURCE","REFERENCED","NO_SIGNAL","","PROVENANCE_REVIEW","Dynamic driver car-art convention."
"data/ams2/cars/driver.alef_delvaux.png","cars","True","True","True","900","281","3.2028","png","png","True","165331","True","OK","58da18f297d679a89ce754f3ee52f49a29505a65757359b236d829d4dcec6230","0000000001000000010011000100110100011011000101100001011001000001","","NEAR-001","1","LOOSE_COPY_DECLARED","MATCHES_SOURCE","MATCHES_SOURCE","REFERENCED","NO_SIGNAL","","PROVENANCE_REVIEW","Dynamic driver car-art convention."
"data/ams2/cars/driver.alex_picos.png","cars","True","True","True","900","281","3.2028","png","png","True","191320","True","OK","732c1c902731c3ca797026c3d483d794860cf40f22df18e401a64013ff48f22a","0000000001000000010011000100110100011011000101100001011001000001","","NEAR-001","1","LOOSE_COPY_DECLARED","MATCHES_SOURCE","MATCHES_SOURCE","REFERENCED","NO_SIGNAL","","PROVENANCE_REVIEW","Dynamic driver car-art convention."
"data/ams2/cars/driver.ayrton_senna.png","cars","True","True","True","900","281","3.2028","png","png","True","190012","True","OK","fb12b025a3ed5c89f8e1fb45cee888845a413236dd3fc39928b9a5797af3d94e","0000000001000000010011000100110100000111000101100101001001000001","","NEAR-001","1","LOOSE_COPY_DECLARED","MATCHES_SOURCE","MATCHES_SOURCE","REFERENCED","NO_SIGNAL","","PROVENANCE_REVIEW","Dynamic driver car-art convention."
"data/ams2/cars/driver.bernie_miller.png","cars","True","True","True","900","281","3.2028","png","png","True","155435","True","OK","80eeb078e175216c557bc6e395668f5a659a49602c2b9683d8f4bf13da01239c","0000000001000000011001000100110100001111000101100001001000000000","","NEAR-002","1","LOOSE_COPY_DECLARED","MATCHES_SOURCE","MATCHES_SOURCE","REFERENCED","NO_SIGNAL","","PROVENANCE_REVIEW","Dynamic driver car-art convention."
"data/ams2/cars/driver.bruno_salgado.png","cars","True","True","True","900","281","3.2028","png","png","True","148839","True","OK","98f0acf1b9c72672ba218677bf78d5492db778ceb15394dd199f70c9e7d80093","0000000001000000010010000001100100011111001011100100110000100010","","NEAR-003","1","LOOSE_COPY_DECLARED","MATCHES_SOURCE","MATCHES_SOURCE","REFERENCED","NO_SIGNAL","","PROVENANCE_REVIEW","Dynamic driver car-art convention."
"data/ams2/cars/driver.christopher_tegner.png","cars","True","True","True","900","281","3.2028","png","png","True","150288","True","OK","4bab96f9733d13b0c3e16634c54163c5d2179c636fee8a44841e3d0e38a3cca8","0000000001000000011001000100110100011011000010000001110000000000","","NEAR-004","1","LOOSE_COPY_DECLARED","MATCHES_SOURCE","MATCHES_SOURCE","REFERENCED","NO_SIGNAL","","PROVENANCE_REVIEW","Dynamic driver car-art convention."
"data/ams2/cars/driver.eddie_bellini.png","cars","True","True","True","900","281","3.2028","png","png","True","185516","True","OK","84136ae85d26d11329511b2dc7851367cc89401f5ca0948021f5e6451ab1fc21","0000000001000000010011000100110100011011000101100101011001000001","","NEAR-001","1","LOOSE_COPY_DECLARED","MATCHES_SOURCE","MATCHES_SOURCE","REFERENCED","NO_SIGNAL","","PROVENANCE_REVIEW","Dynamic driver car-art convention."
"data/ams2/cars/driver.eric_sambena.png","cars","True","True","True","900","281","3.2028","png","png","True","180633","True","OK","01ff9f91cb3d396367c6a518f4a8cf525ce49f6167f05c040f7cca347135fc70","0000000001000000010011000100110100001111010001110101001101000001","","NEAR-001","1","LOOSE_COPY_DECLARED","MATCHES_SOURCE","MATCHES_SOURCE","REFERENCED","NO_SIGNAL","","PROVENANCE_REVIEW","Dynamic driver car-art convention."
"data/ams2/cars/driver.esteban_pacheco.png","cars","True","True","True","900","281","3.2028","png","png","True","189315","True","OK","53f7c0dcdafdc697506f7c2c9996a3eedc169ccd82c8932adf9b0712ba9fb554","0000000001000000010011000100110100011011000101100001001001000001","","NEAR-001","1","LOOSE_COPY_DECLARED","MATCHES_SOURCE","MATCHES_SOURCE","REFERENCED","NO_SIGNAL","","PROVENANCE_REVIEW","Dynamic driver car-art convention."
